"female","happyface","tip","xhappy","tipround"
1,0,44.78,0,45
1,0,27.55,0,28
1,0,18.12,0,18
0,0,0,0,0
1,0,30.08,0,30
0,0,16.28,0,16
0,0,38.1,0,38
1,0,28.48,0,28
0,0,27.27,0,27
0,0,20.79,0,21
1,0,20.15,0,20
0,0,20.55,0,21
1,0,22.44,0,22
1,0,26.78,0,27
0,0,21.98,0,22
0,0,0,0,0
1,0,20.59,0,21
1,0,36.36,0,36
0,0,15.09,0,15
1,0,30.08,0,30
1,0,22.66,0,23
1,0,24.82,0,25
0,0,0,0,0
1,0,33.99,0,34
1,0,8,0,8
1,0,31.25,0,31
0,0,33.44,0,33
1,0,33.07,0,33
1,0,27.1,0,27
1,0,39.06,0,39
0,0,39.53,0,40
0,0,18.18,0,18
0,0,9.09,0,9
1,0,33.61,0,34
0,0,23.26,0,23
0,0,22.56,0,23
0,0,30.77,0,31
1,0,27.71,0,28
1,0,21.1,0,21
0,0,21.21,0,21
0,0,48,0,48
0,0,20.34,0,20
1,0,31.25,0,31
0,0,23.08,0,23
1,1,24.19,1,24
1,1,24.34,1,24
0,1,14.7,0,15
1,1,26.74,1,27
1,1,28.33,1,28
0,1,18.18,0,18
1,1,40.54,1,41
1,1,21.01,1,21
1,1,40.4,1,40
1,1,23.44,1,23
0,1,31.13,0,31
0,1,9.09,0,9
1,1,64.52,1,65
0,1,23.26,0,23
1,1,20.63,1,21
1,1,28.56,1,29
1,1,47.41,1,47
0,1,16.81,0,17
0,1,13.64,0,14
0,1,12.05,0,12
0,1,14.49,0,14
1,1,32.52,1,33
0,1,23.26,0,23
0,1,27.27,0,27
0,1,15.15,0,15
0,1,20.85,0,21
1,1,21.74,1,22
0,1,17.77,0,18
0,1,14.62,0,15
0,1,9.09,0,9
1,1,33.49,1,33
1,1,29.66,1,30
0,1,12.54,0,13
0,1,16.95,0,17
1,1,72.46,1,72
1,1,33.61,1,34
0,1,16.73,0,17
1,1,16.51,1,17
1,1,25.1,1,25
0,1,25.56,0,26
0,1,15.81,0,16
0,1,18.69,0,19
1,1,27.27,1,27
0,1,21.21,0,21
1,1,44.44,1,44
